variable,data-type
X,numeric
Y,numeric
Unique.Squirrel.ID,character
Hectare,character
Shift,character
Date,numeric
Hectare.Squirrel.Number,numeric
Age,factor
Primary.Fur.Color,factor
Highlight.Fur.Color,factor
Combination.of.Primary.and.Highlight.Color,factor
Color.notes,character
Location,factor
Above.Ground.Sighter.Measurement,numeric
Specific.Location,character
Running,logical
Chasing,logical
Climbing,logical
Eating,logical
Foraging,logical
Other.Activities,character
Kuks,logical
Quaas,logical
Moans,logical
Tail.flags,logical
Tail.twitches,logical
Approaches,logical
Indifferent,logical
Runs.from,logical
Other.Interactions,character
Lat.Long,character
